name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sao jose dos campos,1/1/2022,27,16.2,21,27.9,16.2,21.1,17.4,81.7,3.4,100,83.33,rain,0,0,38.9,16.3,75.2,1010.7,71.6,8.5,200.6,17.4,8,,2022-01-01T05:21:19,2022-01-01T18:52:59,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,86870099999,83829099999,SBGR,83809399999"
sao jose dos campos,1/2/2022,27,17.7,21.9,28.1,17.7,22,18.3,80.5,3.2,100,54.17,rain,0,0,,16.3,48.3,1012.6,76.2,9.9,175,15,7,,2022-01-02T05:21:58,2022-01-02T18:53:15,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBSJ,83075099999,86870099999,83829099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/3/2022,27.8,18.1,22.5,29,18.1,22.7,18.7,80.5,9.7,100,83.33,rain,0,0,,14.7,53.3,1011.6,78.7,9.8,201.6,17.5,7,,2022-01-03T05:22:37,2022-01-03T18:53:30,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,86870099999,83829099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/4/2022,28,18.3,23,29.2,18.3,23.2,18.7,77.9,18.3,100,100,rain,0,0,,18.2,50.2,1009.3,83.3,9,143.1,12.4,5,,2022-01-04T05:23:17,2022-01-04T18:53:44,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,86870099999,83829099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/5/2022,27.9,18.8,23.1,29.2,18.8,23.4,19.4,80.7,4.9,100,62.5,rain,0,0,38.9,20.4,331.2,1008.5,71.3,9.2,203.2,17.5,7,,2022-01-05T05:23:58,2022-01-05T18:53:57,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,86870099999,83829099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/6/2022,28,20,22.3,29.6,20,22.4,19.7,85.7,25.5,100,83.33,rain,0,0,,21.9,242,1010,85.8,8.3,104.6,9,3,,2022-01-06T05:24:39,2022-01-06T18:54:08,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,86870099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/7/2022,22.1,19,20.4,22.1,19,20.4,17.7,84.9,8.3,100,100,rain,0,0,,12.9,168.7,1013.4,92.4,10.1,194.2,16.6,6,,2022-01-07T05:25:20,2022-01-07T18:54:18,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,83829099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/8/2022,23,18,20.2,23,18,20.2,16.9,82.3,6.4,100,100,rain,0,0,,27.4,144.1,1014.6,95.6,8.7,276.8,24.1,9,,2022-01-08T05:26:02,2022-01-08T18:54:27,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,83829099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/9/2022,21,16,17.8,21,16,17.8,15.9,89,5.5,100,100,rain,0,0,,23.9,144.5,1015.9,97.9,7.4,153.2,13.3,4,,2022-01-09T05:26:44,2022-01-09T18:54:34,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,83829099999,83784099999,SBTA,SBGR,83809399999"
sao jose dos campos,1/10/2022,24,16,20.1,24,16,20.1,16.6,81.2,5.5,100,75,rain,0,0,16.6,11,6.1,1012.6,92.8,8.7,266,23,8,10,2022-01-10T05:27:27,2022-01-10T18:54:40,0.26,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBSJ,83075099999,83829099999,83784099999,SBTA,SBGR,83809399999"
